Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Time_TP,
43,12.09858022,Si1,0.478399995,PU,2.701363005,2.126515193,1,414.0998071,899.344386,-0.000879944,0.043703861,1205.269121,129.000002,84.9,,
44,9.675620921,Si1,0.98792204,PU,1.183543865,1.189145466,1,350.2500571,974.3623839,-0.010938804,0.043056993,905.000596,126.000002,72.8,,
45,8.06019862,Si1,0.78869847,PU,1.25447499,0.610255496,1,338.2509983,900.5519734,0.000192355,0.047126975,843.8707609,110.000002,71.2,,
46,13.76074096,Si1,1.014253551,PU,1.753918208,2.233039528,0,401.45397,279.6535216,-0.000334869,0.055209217,1213.901207,225.5,93.8,,
47,14.77991196,Si1,1.173209052,PU,2.904484593,1.077986344,0,386.2182987,268.5974393,-0.000360348,0.055136429,1163.857539,234.1,100.9,,
48,14.29465447,Si1,1.521996374,PU,2.491628144,1.325357677,0,363.6559913,261.2459658,0.002437514,0.055259084,1062.609675,239.8,99.6,,
49,10.28895136,Si1,0.682214066,PU,2.437545541,1.699119334,1,373.9438286,936.0495258,0.000744221,0.041924464,1007.644593,136.000002,80.2,,
50,13.11679385,Si1,0.675377244,PU,1.552305526,1.674215959,1,416.4519824,551.1593235,-0.00031877,0.046221628,1203.646106,145.000002,92.9,,
51,10.73545038,Si1,0.636399787,PU,2.925821985,0.565976266,1,369.3566304,528.8310965,0.002851599,0.041737036,1031.30615,142.000002,81.3,,
52,8.985290483,Si1,0.943535211,PU,2.382019031,0.545309521,1,334.5730729,1073.363105,-0.000215482,0.047621577,862.9844182,147.000002,75,,
53,8.477938018,Si1,0.501974534,PU,2.767433724,1.23392296,1,355.7362769,622.4422913,0.001013993,0.045629663,928.346916,103.000002,72.6,,
54,15.87667106,Si1,1.386648823,PU,2.911300349,2.205784302,0,390.6276589,262.9012087,0.000387767,0.055281439,1187.169131,272.2,107,,
55,15.03765683,Si1,0.273224475,PU,1.53007673,1.103543277,1,466.8105543,1022.722806,0.001100375,0.047316104,1445.258275,123.000002,94.8,,
56,11.30919716,Si1,0.59282598,PU,1.863569911,1.812573602,1,398.3516007,806.7907791,0.0013679,0.04404638,1108.475466,127.000002,84.3,,
57,12.17183304,Si1,1.043791885,PU,2.874388169,2.028167818,0,369.8624335,273.5725883,0.001475729,0.055198562,1029.211708,219.1,88.5,,
58,11.43860725,Si1,0.616126384,PU,2.800402949,2.487719976,1,392.1134887,946.9791251,0.001384076,0.040691831,1097.088575,154.000002,83.5,,
59,8.199383897,Si1,0.437276158,PU,1.377955802,2.425239004,1,361.9959191,581.3761913,-0.000195835,0.051896143,941.8254285,92.000002,72.2,,
60,9.430440291,Si1,1.152177951,PU,2.659765278,2.465270549,0,330.7429708,276.4936256,0.002039499,0.055396542,847.8995946,187.3,77.1,,
1,9.454516812,Si1,0.704645684,Si1,2.908515232,0.986311601,1,339.3725782,598.7658838,-0.000227213,0.042943257,913.4081608,159.000002,77.6,,Itr_1
2,9.209084471,Si1,0.760345726,Si1,2.759621556,0.879980971,1,333.2827753,579.9369509,-0.009506311,0.040014937,887.2415173,166.000002,76.5,,
3,9.078328609,Si1,0.733042037,Si1,2.946453623,0.755936154,1,331.8765355,1002.639105,0.000217808,0.046393157,886.1739905,157.000002,76.2,,
4,8.734976394,Si1,0.784127961,Si1,2.897042465,0.804867966,1,324.7401741,931.7840603,-0.000209225,0.042054125,855.7072884,167.000002,72.2,,
5,15.94052675,Si1,0.676812581,PU,2.806172472,2.302029449,1,436.8073538,529.8164825,-0.000389363,0.0455555,1397.045205,198.000002,101.3,,
6,10.34520071,Si1,0.631386696,Si1,2.918077571,0.613277388,1,349.0919751,950.0800227,-0.00274428,0.03767148,962.9750737,162.000002,81,,
7,12.64066419,Si1,0.950744049,Si1,1.292510009,1.313394875,1,382.8636023,576.7764259,0.040199525,0.036517125,1061.104273,207.000002,86,,
8,10.23611342,Si1,0.797871794,Si1,2.149150635,0.506317296,1,343.8282017,949.9467486,0.009129852,0.042688226,938.1135176,164.000002,81,,
9,15.25309902,Si1,0.676534658,PU,2.822763552,2.339977674,1,430.6762352,867.6847048,-0.000372178,0.040567348,1341.16133,194.000002,98.3,,
10,15.69849461,Si1,0.752574127,PU,2.366178733,2.462536734,1,433.8267969,508.5117064,0.000383312,0.045614158,1383.279969,200,100.7,,
11,10.29484076,Si1,0.652583369,Si1,2.75909886,2.113774311,1,357.9663255,999.5243449,0.009680619,0.040460023,966.8617589,179.000002,80.9,,
12,11.51866801,Si1,1.072443798,Si1,1.15773035,1.263005896,0,364.1421965,284.8933776,0.001394084,0.055352853,971.0141663,195.5,82.8,,
13,15.71632611,Si1,0.697913984,PU,2.819093468,2.472005251,1,434.6892995,576.024233,0.000383758,0.044899715,1373.419958,197.000002,100.4,,
14,13.87784765,Si1,0.674317709,PU,2.932403146,2.091785876,1,414.8927325,585.0978814,-0.001013389,0.042224531,1236.383377,176.000002,93.2,,
15,11.9527146,Si1,0.866932361,PU,2.336186913,2.217118761,0,382.6200259,284.4095359,-0.000289668,0.055268448,1083.390482,206.5,86.4,,
16,9.945703901,Si1,0.728870859,Si1,2.56694467,0.677836682,1,342.2875723,951.7059235,-0.000239493,0.042390173,933.3821129,159.000002,79.6,,
17,11.28418233,Si1,0.814551537,Si1,1.856844474,0.895757216,0,362.9578978,284.7226064,0.002456591,0.055318405,1009.353432,196.4,85.4,,
18,11.97144787,Si1,0.67521127,Si1,2.885076014,1.496527787,0,372.3234102,279.5414514,-0.001450681,0.055312939,1043.018248,209.1,88.2,,
19,8.117265345,Si1,0.65541516,Si1,2.991193639,0.788599821,1,329.8671223,871.3192078,0.000193782,0.041663076,857.5392639,129.000002,72.3,,
20,11.21949786,Si1,1.349643059,Si1,2.636047203,1.477387523,0,323.0890494,260.1646014,0.002442038,0.055426425,866.3843268,226.9,86.8,,
1,14.44570289,Si1,1.127704252,Si1,1.116401461,2.070321165,0,400.986818,283.0942508,0.000351993,0.055205415,1159.752244,229.1,93,237.000002,Itr_2
2,13.23878226,Si1,0.867727118,Si1,1.598756667,2.072333551,0,396.736225,283.0380115,-0.001609098,0.055426481,1144.459885,224.3,94.2,231.000002,
3,15.7961469,Si1,0.970852102,Si1,1.606102177,1.684762414,0,418.7366578,283.2035505,0.000385754,0.055138516,1295.970929,259.5,105.8,267.000002,
4,14.54191172,Si1,1.096192086,Si1,1.17877237,2.260599311,0,403.6049537,284.0786631,0.002480784,0.055393025,1166.693626,233.8,92.9,241.000002,
5,13.91282607,Si1,0.833934613,Si1,1.747825135,2.172114777,0,404.6580738,282.8112791,-0.000338671,0.055182331,1188.656999,233.5,96.6,241.000002,
6,9.14507984,Si1,1.397612375,PU,1.164492177,2.474842545,0,309.6046425,273.4778776,-0.000658431,0.055404102,779.3294494,168.3,73.1,201.000002,
7,8.802263676,Si1,1.41541476,PU,1.26375574,2.484720592,0,306.136116,270.1679496,0.000210907,0.055378752,765.3654112,170.9,74.6,201.000002,
8,9.406657375,Si1,1.349914613,PU,1.206851585,2.428198441,0,316.1910026,277.1047941,-0.00067805,0.055324013,801.9274352,170,72.8,201.000002,
9,8.970784948,Si1,1.293332197,PU,1.566266032,2.313094488,0,318.026808,275.2002149,-0.000645359,0.055285296,798.4798904,175.4,76.6,201.000002,
10,10.88312966,Si1,1.042944655,PU,1.64738265,1.665442934,1,357.621085,911.564777,0.000788785,0.040753879,983.1688155,183.000002,84.1,183.000002,
11,11.77120916,Si1,0.903716276,PU,2.013327576,0.850239091,1,372.5465234,808.3415898,0.031649455,0.03792232,1077.062424,178.000002,85.5,178.000002,
12,11.34429514,Si1,0.792777133,PU,2.884328355,0.965645731,1,368.3612588,560.03309,0.010703843,0.035405018,1037.874996,194.000002,83.8,194.000002,
13,15.84599403,Si1,0.654514106,Si1,2.964878313,2.301019297,0,414.7704154,283.7170711,0.000387,0.055226982,1312.162181,267.7,102.5,275.000002,
14,13.87305012,Si1,0.828311041,PU,2.576551261,2.486761632,1,409.3301266,551.2853434,-0.027351776,0.033429949,1213.478957,226.000002,94.3,226.000002,
15,11.8240527,Si1,0.773310662,PU,2.825580569,2.034109142,0,383.0972791,284.3600753,0.002578062,0.055249327,1075.110421,206,85.3,212.000002,
16,9.990260469,Si1,1.238200696,PU,1.449723272,2.247747688,0,336.6872329,279.7753709,-0.001684246,0.055419748,873.8675828,187,82.1,201.000002,
17,11.39944764,Si1,1.156979651,Si1,1.162721025,1.271703545,0,356.2161869,280.2574375,0.002482526,0.055333625,937.1059653,197.6,83.1,203.000002,
18,11.24957929,Si1,1.020455127,Si1,1.203848186,1.261467683,1,362.2199301,851.7053362,-0.010067312,0.039997157,963.3271865,179.000002,81.4,179.000002,
19,8.077111528,Si1,0.26062276,PU,1.153069751,1.02264498,1,406.4014517,561.7689591,0.001735,0.005590555,996.5199846,66.000002,61.5,66.000002,
20,14.24038675,Si1,1.166894662,Si1,2.077194669,2.134440463,0,382.0075466,269.4849998,0.002428018,0.05515192,1112.886868,249.1,100.4,257.000002,
1,13.07991151,Si1,0.98995982,Si1,1.227551252,0.57450861,0,380.9564596,282.9639111,0.001589239,0.055402759,1082.669836,198.2,87.6,205.000002,Itr_3
2,11.59716218,Si1,0.749987548,PU,2.945467538,2.354427476,1,381.9299798,946.1274778,-0.010388825,0.035658939,1064.054957,202.000002,84.6,202.000002,
3,11.85863792,Si1,0.794607572,PU,2.78948706,1.601176619,1,380.6854523,527.1956938,0.033615966,0.037063758,1077.622172,194.000002,85.6,194.000002,
4,14.50517256,Si1,0.645384201,Si1,2.504354529,0.639435453,0,402.5769513,283.5602467,-0.000353479,0.055321382,1221.505054,217.1,96.9,225.000002,
5,11.43472274,Si1,0.945239448,Si1,1.485437973,0.531307778,0,358.1002671,283.6168382,0.002490463,0.055421808,1009.283349,196,86.5,202.000002,
6,8.332987067,Si1,1.288879812,PU,1.575827349,0.710638666,0,299.1721691,276.0117979,0.000995874,0.05543529,758.0483704,164.4,73.9,201.000002,
7,14.55819214,Si1,0.627661419,Si1,2.60877563,0.617539996,0,403.1498806,284.4892731,0.002483633,0.055424771,1224.393,217,96.9,224.000002,
8,8.721006898,Si1,1.276634938,PU,1.521376585,0.605571727,0,304.3780479,277.8305929,0.000626626,0.055321533,780.8313787,168.6,75.2,201.000002,
9,14.17614515,Si1,1.03514094,PU,1.744125727,1.371713048,0,401.0930024,283.3770717,0.002416776,0.0553703,1229.801154,223.3,95.7,230.000002,
10,11.69529104,Si1,0.83697941,PU,2.491316244,1.760912232,1,378.3291263,913.6054987,-0.008213736,0.03483757,1068.226884,205.000002,85.1,205.000002,
11,8.258607739,Si1,1.321752945,PU,1.425701819,0.971619216,0,298.0411241,274.2013332,-0.000591946,0.055374135,750.9232398,163,73.8,201.000002,
12,8.076766559,Si1,1.219209565,PU,1.869148606,1.351780461,0,304.8604531,276.5352553,0.002120462,0.055316003,753.9317291,162.3,72.6,201.000002,
13,15.76985046,Si1,0.919409158,Si1,1.35864212,2.465286049,1,431.5770622,917.5943331,0.000385096,0.038894721,1342.849998,219.000002,106.5,219.000002,
14,13.67728957,Si1,0.77489739,Si1,1.812538212,1.284222011,1,400.6119311,846.2902068,0.024958669,0.032945443,1183.386676,210.000002,95.1,210.000002,
15,11.93910776,Si1,0.7018924,Si1,2.069095869,2.33935541,0,384.2298315,284.9742842,-0.001446639,0.055236132,1071.660859,211.3,87.7,218.000002,
16,9.992472605,Si1,0.952707422,PU,2.379606768,1.889296656,1,350.43092,873.0076414,-0.000240662,0.041634483,925.8957658,176.000002,80.1,176.000002,
17,11.32609822,Si1,0.977252794,Si1,1.180513115,1.17519742,1,367.0558567,901.3219294,0.002466023,0.043018393,978.6260263,166.000002,81.7,166.000002,
18,10.83553945,Si1,0.650975953,Si1,2.400359264,2.458087857,0,369.6356158,284.7000084,0.000261739,0.055232543,1006.70706,198.7,82.5,205.000002,
19,8.16981682,Si1,0.259278526,PU,2.189881249,0.529080542,1,360.9241221,609.2872319,0.000195096,0.051310117,968.891158,84.000002,69.9,84.000002,
20,12.33972665,Si1,1.104132465,Si1,1.3236876,0.978975564,0,366.192031,277.5196714,-0.001496716,0.055289571,1043.045506,211,91.6,218.000002,Itr_4
1,13.91644543,Si1,0.777451934,Si1,1.834228244,0.654140949,0,397.7457914,283.2711243,0.000338761,0.055189661,1183.783697,210.1,96,217.000002,
2,15.27950584,Si1,0.802985478,Si1,1.828062846,0.510823653,0,411.8528254,282.7501233,0.000372838,0.055339994,1272.884679,227.6,101.7,235.000002,
3,10.90248335,Si1,0.726981519,Si1,2.067943887,1.686291218,1,365.93299,977.8450048,0.001843884,0.033453324,1005.575717,181.000002,83.6,181.000002,
4,11.62059322,Si1,0.982730144,PU,1.844087765,2.451072153,0,375.4440615,283.7051461,0.000281365,0.055323753,1049.82708,203.5,86.2,210.000002,
5,15.50297621,Si1,0.726578347,Si1,2.103979977,1.478863562,1,421.69123,911.7030079,0.004919519,0.037464026,1297.844057,221.000002,101.6,221.000002,
6,15.53887925,Si1,0.726486469,Si1,2.099370773,2.366734778,1,425.6955988,549.3934912,-0.000379322,0.041346098,1310.250812,223.000002,102,223.000002,
7,12.2481772,Si1,0.920743372,PU,1.969182683,2.373476047,0,386.6981515,283.2970399,0.001485272,0.055376062,1111.240044,211,87.2,218.000002,
8,11.30528698,Si1,0.956958025,PU,2.128410891,2.086676398,0,367.7969928,283.7059838,0.00246134,0.055371707,1020.715796,200.6,84.2,206.000002,
9,10.90189746,Si1,0.998224767,PU,2.073702571,2.286182268,0,362.1963924,282.0292447,0.000263398,0.055406738,980.2555804,199,83.7,205.000002,
10,10.67194747,Si1,0.767451664,Si1,2.06600202,1.537045048,1,359.1215927,910.1927712,-0.000257649,0.038904961,978.9426268,184.000002,82.7,184.000002,
11,9.844373593,Si1,1.072952949,PU,1.967207118,2.405896468,0,344.1459905,283.7654387,-0.000710878,0.055237273,902.855671,183.6,80,188.000002,
12,8.016128864,Si1,1.202529045,Si1,1.334492409,0.612772515,0,298.3053423,277.9168744,-0.001721279,0.055290468,747.7476139,164.9,74.3,201.000002,
13,9.427058649,Si1,0.861919557,Si1,2.82078324,2.487528445,0,336.7502107,279.3851172,0.002038739,0.055386233,877.0813278,192.1,77.9,201.000002,
14,8.368896265,Si1,1.227272557,Si1,1.126242457,0.75371892,0,299.194279,276.2396186,0.000200073,0.055360005,753.6150757,161.5,69.6,201.000002,
15,15.99185854,Si1,0.871416724,PU,2.865332724,1.870667941,0,426.9272509,277.3833704,-0.000390647,0.055095255,1334.110495,258.7,103.1,267.000002,
16,13.96580191,Si1,0.885439604,PU,2.544454148,1.843517275,0,405.0199172,284.2395023,0.000339995,0.055289595,1205.421933,226.8,95.4,234.000002,
17,11.88631635,Si1,0.515519353,Si1,2.93656055,2.129931783,0,384.2184699,284.5198441,-0.00144004,0.055398758,1080.200494,209.5,86.4,217.000002,
18,9.87760257,Si1,0.913129323,Si1,2.118345209,2.426252629,0,344.3819531,281.1469918,0.00166453,0.05533364,898.6149515,192.1,79.8,198.000002,
19,15.75436788,Si1,0.69396048,Si1,2.949889141,2.392293028,0,411.129846,279.8354023,0.000384709,0.055064357,1288.258859,269.6,102.4,278.000002,
20,15.97283815,Si1,0.949692246,Si1,1.300249737,2.403288797,1,427.9017405,526.4243905,0.007413249,0.040967955,1293.217434,215.000002,98,215.000002,
21,15.93194945,Si1,1.995962565,Si1,2.939585443,0.698058674,0,348.8949045,230.3366474,0.000389149,0.055379561,1009.955709,271.5,111.1,282.000002,
22,10.77472602,Si1,0.556080601,Si1,1.463710157,2.432120165,1,390.8244697,839.2564964,0.001821528,0.041895138,1061.865796,131.000002,83.9,131.000002,
1,15.40154821,Si1,0.789994775,PU,2.323404217,0.662406689,1,420.9046211,926.4823212,0.000375889,0.034205876,1339.175827,215.000002,99.8,215.000002,Itr_5
2,15.06063858,Si1,0.790202334,PU,2.34707222,0.62526591,1,417.7813849,554.4796855,-0.001102098,0.039308162,1314.298943,208.000002,98.5,208.000002,
3,15.9045163,Si1,0.739253646,PU,2.439871738,0.520764759,0,428.6369794,282.97368,-0.000388463,0.055330873,1385.496211,226.2,101.6,233.000002,
4,13.48140692,Si1,1.071066547,PU,1.174777175,1.798513209,0,397.1136737,284.3697919,-0.000327885,0.055292361,1126.930399,207.5,87.2,214.000002,
5,13.21637811,Si1,1.072271231,PU,1.197705755,1.785639141,0,392.8632638,284.4974751,-0.000321259,0.055378313,1103.885314,205.7,86.2,213.000002,
6,11.36352905,Si1,1.0624134,PU,1.577584073,0.610278891,0,354.8480064,284.2610169,0.000274938,0.055243825,1001.477206,192.3,86.2,197.000002,
7,9.589230055,Si1,0.909371849,Si1,2.128297567,1.95987338,0,340.21221,282.4138457,0.002075227,0.05541969,886.3883943,188.9,78.7,194.000002,
8,11.37407448,Si1,0.763617499,Si1,2.124585434,1.94062436,0,370.105564,284.0749047,0.001376009,0.055270175,1018.1478,204.3,85.1,211.000002,
9,11.40426329,Si1,0.920832733,Si1,1.664539545,1.830123106,0,366.4492481,281.2563686,0.002483609,0.055345658,1004.617818,207.3,86.4,214.000002,
10,11.59005522,Si1,0.750702804,Si1,2.264944603,1.443989163,0,370.3406031,281.868176,0.001403007,0.055248935,1022.096809,205.5,85.6,212.000002,
11,10.59219942,Si1,0.999397667,Si1,1.152991192,0.812184247,1,352.1690212,858.9522619,0.000766965,0.045762245,936.041286,151.000002,78.1,151.000002,
12,9.575003037,Si1,0.950053514,Si1,2.014282415,1.752509343,0,337.0424591,281.927104,0.002072025,0.055377,876.6243441,188.5,78.7,194.000002,
13,9.404878788,Si1,1.057990761,Si1,1.514254062,1.862527394,0,333.6766913,283.3563335,-0.000677916,0.055318584,868.1834316,183.1,78,188.000002,
14,9.143459488,Si1,0.935200025,Si1,2.102489273,2.073012533,0,334.1426364,283.4803307,-0.00065831,0.055398999,864.7740455,183.3,76.7,188.000002,
15,15.98699135,Si1,0.760847496,PU,2.786368571,1.162305709,0,428.7951544,280.8678106,-0.000390525,0.055086733,1371.536449,240.4,102.1,248.000002,
16,13.95151808,Si1,0.836233846,PU,2.825356957,2.258623674,1,409.4056102,527.4216972,-0.026831402,0.031586334,1218.809842,235.4,94.3,235.4,
17,11.87471369,Si1,0.589445849,Si1,2.147315889,2.497347025,1,391.5511506,877.5110742,0.023880582,0.035964731,1086.588228,177.000002,85,177.000002,
18,9.973421096,Si1,0.638943298,Si1,2.928297126,2.478759423,1,355.7423844,910.5238243,0.000720557,0.039630608,950.4261851,172.000002,79.7,172.000002,
19,15.25135761,Si1,0.745185201,Si1,2.050812275,1.533665069,1,417.758444,842.3905161,0.000372134,0.036841266,1282.863874,224.000002,101,224.000002,
20,11.58914386,Si1,0.759412684,PU,2.962953811,2.459384004,0,382.4253342,284.9485127,0.001402893,0.055246703,1061.676781,204.9,84.6,212.000002,
21,15.2593202,Si1,1.977041325,PU,1.159742584,2.472436839,0,361.2965707,254.8072979,0.000372333,0.055302642,1016.820012,259.1,98.2,268.000002,
22,10.35767076,Si1,1.303543451,Si1,2.332134603,1.18611004,0,314.4634287,264.2823196,0.002248126,0.055227093,831.8905125,210.1,82.5,216.000002,
1,13.18351564,Si1,0.476879305,Si1,2.950939235,0.97730836,1,397.757032,886.5212298,-0.01377883,0.03364598,1157.650609,188.000002,90.5,188.000002,Itr_6
2,15.2855197,Si1,0.590363492,Si1,2.664887473,1.100060159,1,416.0726059,894.2108523,-0.00559482,0.03916374,1294.430938,205.000002,99.6,205.000002,
3,13.59593358,Si1,0.495291181,Si1,2.91239867,1.01552444,1,399.9457858,880.8510829,-0.002976734,0.039359042,1181.11556,172.000002,92,172.000002,
4,14.31240387,Si1,0.526800656,Si1,2.913908007,1.428543172,1,407.1234957,934.8054898,0.00453258,0.03591198,1226.67364,195.000002,95,195.000002,
5,15.51130038,Si1,0.959867608,PU,1.96326713,2.458209077,1,423.3303714,559.9176405,0.000378633,0.039756413,1340.543418,225.000002,101.6,225.000002,
6,11.44535656,Si1,0.829138704,Si1,1.72093207,1.145548873,0,367.1750926,283.9288137,0.00138492,0.055171409,1024.111155,198.9,86.2,205.000002,
7,11.8231766,Si1,1.045278436,Si1,1.126532208,1.562394333,1,370.9480536,970.5474688,0.023200783,0.036376537,1000.747658,193.000002,83.3,193.000002,
8,10.39405512,Si1,0.912514792,Si1,1.743238171,0.729859669,0,343.9170528,284.1718576,-0.001754911,0.055327165,926.7857174,189,82.5,195.000002,
9,10.23474041,Si1,0.839176632,Si1,2.126943954,1.010266646,1,345.9111612,845.7693149,-0.000740156,0.039228242,933.1557173,181.000002,81,181.000002,
10,8.273551543,Si1,1.03447117,PU,2.993400399,1.304511683,0,317.2930329,283.0164465,0.000197689,0.055426425,804.0051001,168.6,72.9,173.000002,
11,9.214904316,Si1,1.114278836,Si1,1.121347953,2.341592258,0,331.8685998,284.9318143,-0.000663668,0.055402813,841.4722029,169.7,73.3,174.000002,
12,9.544915916,Si1,0.742295648,Si1,2.958574445,2.451788308,0,343.9318088,282.7785608,-0.000688419,0.05528676,907.3864937,189.9,78.1,195.000002,
