Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolingLPM,TP_NoTP,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,
33,13.59015313,ETI,1.501512065,1.447954045,2.04826547,0,135.7240892,128.5528372,131.3544061,201.9387965,-0.167427616,0.113634816,1374.151635,242.4,97.2,
34,13.00527803,ETI,1.727866034,1.985786039,1.732489253,0,130.8606287,123.1317249,129.606657,188.1894146,-0.496930479,0.109268691,1165.750455,263.5,112.5,
35,11.28318555,ETI,1.35462068,1.610089625,15.66181976,0,144.3751341,131.0303731,134.9232834,205.8155927,-0.515159906,0.111606002,1508.412612,251.5,84.3,
36,13.28419466,ETI,1.739597821,1.563146092,0.639091823,0,131.2136214,124.3456056,129.3294011,187.035611,-0.494149595,0.111389002,1158.988633,263.5,113.3,
37,14.22952623,ETI,1.287640737,1.787067237,6.229099074,1,121.5992608,105.4636897,118.2500353,790.7929896,-0.19074827,0.097624115,1652.554364,145.400001,87.8,
38,14.1017874,ETI,1.341482752,2.095596936,2.950140069,1,120.5991325,105.0478561,117.9771069,787.9494829,-0.47018333,0.100954274,1574.540059,159.500001,91.3,
39,13.35065068,ETI,1.430194005,2.296082029,9.077405733,0,145.0149576,131.1597196,139.1000703,209.9843995,-0.494992756,0.111517761,1467.622395,246.5,93.3,
40,11.4589023,ETI,1.551103938,2.025864351,8.376097639,0,135.1740172,127.0168559,132.218416,194.1976058,-0.505656481,0.109239106,1301.501165,246.9,99.5,
41,12.09571751,ETI,1.328031224,2.548387905,4.06959172,1,127.9935738,113.6711892,126.4988497,665.8329814,-0.178496748,0.101755258,1572.552316,174.700001,85.6,
42,11.97173635,ETI,2.565646493,1.740496388,12.01757663,0,118.7551794,109.9631066,114.8088014,151.6153983,-0.490554284,0.113198274,682.0241471,345.2,141.8,
43,13.84883992,ETI,2.334902569,1.831013949,16.44410094,0,121.5448532,112.9072987,118.6654266,162.8231479,-0.487830693,0.114168358,798.6030825,324.6,143.8,
44,14.52152191,ETI,1.600683947,1.228783184,18.16845963,0,132.1120744,126.575296,127.0278629,197.06383,-0.17011568,0.11378632,1277.338185,249.1,103.5,
45,12.35701602,ETI,1.54475398,1.920165113,1.166156237,0,134.5168123,126.5414066,131.6639061,197.0939563,-0.501871474,0.109592601,1319.358642,246.8,101.2,
46,11.41183321,ETI,2.481094929,2.509214957,4.468702623,0,121.0833183,111.3644277,118.917445,154.9185571,-0.492485628,0.110522753,709.3797956,339.5,114.7,
47,12.85891605,ETI,1.982615911,2.165518116,2.369970241,0,127.2226426,117.8163342,125.7453764,176.2665006,-0.493438715,0.10900341,985.987459,289.6,125.6,
48,11.91172733,ETI,2.197715698,2.27665003,0.03099692,0,125.4794822,115.9640749,123.696579,166.4296602,-0.491168612,0.108729852,838.103812,313.3,132.9,
49,11.84709055,ETI,1.844776281,2.20888605,5.321620453,0,130.2486697,121.5177486,129.1981475,180.1714856,-0.496008237,0.108604612,1063.872438,273.2,115.4,
50,14.34698268,ETI,1.259593513,1.530310136,8.56371923,1,119.9519021,103.7471295,114.6604385,538.1958972,-0.203547342,0.097719549,1684.56382,140.200001,87.5,
51,10.76713335,ETI,2.65734778,1.708659771,27.2075438,0,116.2673587,107.706075,111.6650804,144.9339801,-0.489517303,0.113012896,609.6769197,356.2,120.6,
52,12.64840794,ETI,1.950624787,1.586906288,2.631555019,0,127.1701666,118.3939661,123.6960732,175.5125165,-0.492224256,0.110157166,995.5813093,281.9,122.5,
53,12.97830343,ETI,1.509045457,1.927776525,0.350262839,0,136.3677307,128.2742501,132.7412609,201.8713448,-0.498151284,0.110796337,1360.977366,248.9,95.7,
54,13.94898428,ETI,1.273556292,2.652977911,14.97391443,1,118.6686711,101.5547449,116.3554877,789.0604078,-0.200362716,0.097396175,1675.920468,141.600001,86.8,
55,12.53373158,ETI,1.247558002,1.401437673,24.98180722,1,122.9402947,106.541116,114.712342,647.5336324,-0.458771669,0.099288215,1619.206972,142.700001,88.5,
56,13.0687814,ETI,2.954513614,1.805063186,7.397919162,0,113.6902564,106.0681158,109.8411889,141.7921046,-0.488240839,0.117323029,585.3439461,394.5,162.9,
57,10.36767759,ETI,2.101450004,2.744200514,1.388242365,0,125.6257263,114.7994426,123.7868328,167.5242308,-0.498403245,0.106988465,859.83201,296.2,121.8,
58,13.78643865,ETI,1.365638359,2.052447613,6.79220526,1,123.9668897,108.6053277,121.4010437,780.1174093,-0.186819058,0.100619216,1541.077717,167.700001,90.7,
59,15.22528558,ETI,2.823602269,1.291640337,17.63303486,0,116.2213977,110.3106041,111.0514035,149.0078979,-0.178870983,0.133557641,631.0933129,378.9,165.3,
60,13.39675472,ETI,1.033479274,1.949136948,29.04013412,1,117.7829599,99.88157327,113.3275614,759.2307683,-0.226818385,0.090432111,1994.370793,112.100001,80.8,
1,14.535,ETI,1,1.227,0.594,1,115,96.9,107,668,-0.432,0.0908,2140,108,76.7,Itr_1
2,12.105,ETI,2.997,2.207,22.8,0,114,106,111,139,-0.488,0.115,570,398,161,
3,12.355,ETI,2.995,2.432,24,0,114,106,111,139,-0.487,0.116,546,409,135,
4,10.235,ETI,2.339,2.945,18,0,123,112,122,158,-0.494,0.108,750,319,109,
5,10.055,ETI,1.012,1.25,7.84,1,121,99.7,105,599,-0.24,0.0918,2020,98.3,68,
6,15.995,ETI,1.005,1.31,1.2,1,114,96.6,108,781,-0.439,0.0912,2150,114,80.5,
7,12.185,ETI,1.012,1.222,2.45,1,118,99,105,653,-0.232,0.093,2080,103,71.5,
8,14.835,ETI,1.014,1.275,0.384,1,114,96.8,109,863,-0.215,0.0909,2100,111,78.2,
9,12.491,ETI,1.029,1.263,1.27,1,119,101,110,537,-0.236,0.0917,2060,105,72.9,
10,14.535,ETI,1,1.404,0.594,1,116,97,109,668,-0.429,0.0908,2140,108,76.8,
11,15.985,ETI,1.01,1.344,5.86,1,114,96.7,109,674,-0.446,0.0912,2140,114,81,
12,14.204,ETI,1.018,1.271,1.84,1,117,98.9,111,798,-0.212,0.0924,2100,110,76.7,
13,12.661,ETI,1.036,1.264,1.55,1,118,100,110,690,-0.222,0.0917,2040,107,73.6,
14,13.981,ETI,1.017,1.262,2.15,1,115,96.1,107,765,-0.442,0.0923,2090,108,75.9,
15,13.727,ETI,1.032,1.266,0.503,1,116,97.7,109,822,-0.226,0.0922,2060,110,76,
16,12.998,ETI,1.043,1.249,0.777,1,117,98.5,105,785,-0.216,0.0935,2030,108,74.4,
17,15.605,ETI,1.015,1.347,4.01,1,115,98.1,110,673,-0.442,0.0911,2100,113,79.9,
18,15.925,ETI,1.003,1.214,12.5,1,114,96.8,106,874,-0.216,0.0912,2130,114,80.3,
19,12.325,ETI,1.015,1.592,0.681,1,117,98.4,107,687,-0.235,0.0916,2080,103,72.3,
20,12.075,ETI,1.016,1.242,10,1,119,101,106,685,-0.23,0.0915,2070,103,71.7,
